,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
0,279,2022-05-02 19:38:09.218288+00:00,,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72483655733552219,648518346489802071,[ 12726 115166   1861]
1,280,2022-05-02 19:38:09.326692+00:00,,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72413355507544480,648518346490738941,[ 11145 117357   1478]
2,281,2022-05-02 19:38:09.341395+00:00,,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72413286922170067,648518346488854257,[ 10952 116017   1681]
3,283,2022-05-02 19:38:09.368249+00:00,,t,A4_T1L,pleural_remotor_and_abductor_in_thorax_miller_29,72834537583100984,648518346483047589,[24350 87262  2285]
4,285,2022-05-02 19:38:09.395668+00:00,,t,A4_T1L,sternal_adductor_miller_in_thorax_miller_33,72904975181026144,648518346478125293,[26181 89068  2521]
5,287,2022-05-02 19:38:09.421594+00:00,,t,A2_T1L,trochanter_flexor_in_coxa_AcPst,72413355373453175,648518346477140752,[ 10872 118153   1266]
6,289,2022-05-02 19:38:09.447651+00:00,,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72834468863862859,648518346495952784,[22736 85820  2309]
7,282,2022-05-02 19:38:09.354568+00:00,,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72342986830511451,648518346491281272,[  9590 117780   1629]
8,284,2022-05-02 19:38:09.382134+00:00,,t,A4_T1L,pleural_remotor_and_abductor_in_thorax_miller_29,72693868814306475,648518346479077839,[19270 88811  2289]
9,286,2022-05-02 19:38:09.408566+00:00,,t,A2_T1L,trochanter_flexor_in_coxa_AcPst,72483655666524185,648518346481524623,[ 14058 115317   1758]
10,288,2022-05-02 19:38:09.434651+00:00,,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72623431283432202,648518346466168368,[17583 86886  2142]
11,290,2022-05-02 19:38:09.460706+00:00,,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72764168838880663,648518346505044358,[21575 87200  2242]
12,291,2022-05-02 19:38:09.473362+00:00,,t,D1_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,72975343790906622,648518346517437482,[28385 88521  2251]
13,292,2022-05-02 19:38:09.486261+00:00,,t,D1_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,72975275004512296,648518346487756866,[26759 87253  2174]
14,293,2022-05-02 19:38:09.498455+00:00,,t,D2_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73116080876550816,648518346491659326,[31494 89253  1423]
15,295,2022-05-02 19:38:09.523629+00:00,,t,L1_T1L,tarsus_unidentified_in_tibia_A1,72764168973359401,648518346489767549,[21620 87497  2568]
16,297,2022-05-02 19:38:09.547941+00:00,,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A1,72693937667951418,648518346480531926,[20102 90956  2536]
17,299,2022-05-02 19:38:09.572491+00:00,,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A2,72623431484675713,648518346479349137,[17820 87590  2464]
